FirstName,LastName,Website,Size,Medium,Title,imgWidth,imgHeight,photo,price,AWARD
Joanne,Chase-Mattillo,http://www.joannechasemattillo.com,12x36,Photography,A SLIGHT MOVEMENT OF OCEAN WAVES,1920,640,43162-a_slight_movement_of_ocean_waves-2292020146-14649.jpg,,
Joanne,Chase-Mattillo,http://www.joannechasemattillo.com,,Photography,SUNSET- A SLIGHT MOVEMENT OF WAVES,1920,640,43162-sunset-_a_slight_movement_of_waves-2292020149-14649.jpg,,
Joanne,Chase-Mattillo,http://www.joannechasemattillo.com,12x36,Photography,THE MOVEMENT OF CLOUDS,1920,640,43162-the_movement_of_clouds-2292020145-14649.jpg,,
Robin M.,Cohen,https://www.californiaartleague.org/Sys/PublicProfile/8305298/1328698,24x36,Mixed Media,Equine Love,1920,1268,43162-equine_love-3120202240-10747.jpg,"$3,500",
Richard,Cook,https://www.facebook.com/richard.cook.96742/,7x9,Pencil,Sepulveda Past,1543,1920,43162-sepulveda_past-21520201626-17110.jpg,,
Elizabeth,Covington,https://covingtonwatercolors.com,12x9,Watercolor and Walnut Ink,Desert Evening,1429,1920,43162-desert_evening-2272020163-45552.jpg,$325,
Elizabeth,Covington,https://covingtonwatercolors.com,14x11,Watercolor,Jazz Fest,1374,1920,43162-jazz_fest-22720201515-45552.jpg,"$1,350",
Melanie,Ferguson,https://www.melaniefergusonart.com,18x18,Oil with Cold Wax,Mountain Meadows,1920,1837,43162-mountain_meadows-312020100-38638.jpg,$775,
Melanie,Ferguson,https://www.melaniefergusonart.com,12x12,Oil with Cold Wax,The Colors of Spring,1920,1920,43162-the_colors_of_spring-312020103-38638.jpg,$336,
Marian,Fortunati,https://www.marianfortunati.com,16x20,Oil,Early Morning Encore,1920,1516,43162-early_morning_encore-22120202056-981.jpg,"$1,700",
Marian,Fortunati,https://www.marianfortunati.com,14x18,Oil,Emerald Dreams,1920,1488,43162-emerald_dreams-22120202058-981.jpg,"$1,200",
Susan,Gesundheit,https://www.artslant.com/global/artists/show/950-susan-gesundheit?tab=PROFILE,14x14,Mixed Medium Collage,Flame Within,1920,1920,43162-flame_within-21720201518-12417.jpg,$475,
Brandon,Gilgen,https://www.californiaartleague.org/Sys/PublicProfile/54226026/1328698,12x18,Photography,Hello Operator,1920,1275,43162-hello_operator_-21520201826-34447.jpg,$80,
Sylvia H,Goulden,https://sylviahgoulden.artspan.com/,25x18,Watercolor,STAND TOGETHER,1920,1419,43162-stand_together-3120201626-16210.jpg,$450,
Judy,Heimlich,https://judysartstudio.com,,Watercolor,Pismo Blooms,1920,1289,43162-pismo_blooms-2252020629-12551.jpg,$775,
Judy,Heimlich,https://judysartstudio.com,22x37,Watercolor & Ink,Spring Bloom,1920,885,43162-spring_bloom-225202064-12551.jpg,$875,
Theodore,Herman,https://www.californiaartleague.org/Sys/PublicProfile/40928404/1328698,14x11,Photography,Kitchen Remodel Funding,1526,1920,43162-kitchen_remodel_funding-3120201631-38060.jpg,$140,
Theodore,Herman,https://www.californiaartleague.org/Sys/PublicProfile/40928404/1328698,14x11,Photography,Original Food Truck,1536,1920,43162-original_food_truck-3120201621-38060.jpg,$140,
Theodore,Herman,https://www.californiaartleague.org/Sys/PublicProfile/40928404/1328698,12x16,Photography,Vintage Chatsworth Barn,1920,1525,43162-vintage_chatsworth_barn-3120201616-38060.jpg,$150,
Debra,Hintz,https://debrahintz.com,12x16,Oil,Chroma Chameleon,1920,1437,43162-chroma_chameleon-2232020814-1172.jpg,$450,
Debra,Hintz,https://debrahintz.com,14x18,Oil,Textural Differences,1920,1492,43162-textural_differences-2232020816-1172.jpg,$500,
Tricia,Hoye,https://www.instagram.com/churstongirl/,20x24,Mixed Media,One Crazy World,1592,1920,43162-one_crazy_world-2262020167-18188.jpg,$375,
